id,count
GR3_F2K34_W,3
GR3_F2K43_P,1
GR3_F2K43_U,1
GR3_F2K43_V,1
GR3_F2O11_O,4
GR3_F2O11_S,5
GR3_F2O11_T,2
GR3_F2O11_W,1
GR3_F2O11_X,2
GR3_F2O11_Y,1
GR3_F2O12_B,1
GR3_F2O12_D,1
GR3_F2O12_E,1
GR3_F2O12_F,2
GR3_F2O12_H,1
GR3_F2O12_I,3
GR3_F2O12_L,1
GR3_F2O12_P,3
GR3_F2O12_T,3
GR3_F2O12_U,9
GR3_F2O12_V,3
GR3_F2O12_X,10
GR3_F2O12_Y,6
GR3_F2O13_E,1
GR3_F2O13_H,1
GR3_F2O14_A,2
GR3_F2O14_D,2
GR3_F2O14_E,2
GR3_F2O14_F,4
GR3_F2O14_G,5
GR3_F2O14_H,2
GR3_F2O14_J,2
GR3_F2O14_K,1
GR3_F2O14_L,3
GR3_F2O14_M,6
GR3_F2O14_Q,9
GR3_F2O14_R,2
GR3_F2O14_T,2
GR3_F2O14_V,8
GR3_F2O14_Y,1
GR3_F2O21_A,1
GR3_F2O21_B,3
GR3_F2O21_C,1
GR3_F2O21_D,5
GR3_F2O21_G,2
GR3_F2O21_H,3
GR3_F2O21_I,9
GR3_F2O21_J,1
GR3_F2O21_K,1
GR3_F2O21_L,3
GR3_F2O21_M,13
GR3_F2O21_N,3
GR3_F2O21_O,1
GR3_F2O21_P,2
GR3_F2O21_R,1
GR3_F2O21_S,3
GR3_F2O21_T,4
GR3_F2O21_U,2
GR3_F2O21_W,1
GR3_F2O21_X,2
GR3_F2O21_Y,3
GR3_F2O22_A,12
GR3_F2O22_G,2
GR3_F2O22_J,3
GR3_F2O22_K,1
GR3_F2O22_L,5
GR3_F2O22_M,6
GR3_F2O22_N,2
GR3_F2O22_O,6
GR3_F2O22_P,3
GR3_F2O22_Q,2
GR3_F2O22_R,3
GR3_F2O22_S,5
GR3_F2O22_T,7
GR3_F2O22_U,1
GR3_F2O22_V,1
GR3_F2O22_W,11
GR3_F2O22_X,17
GR3_F2O22_Y,28
GR3_F2O23_A,4
GR3_F2O23_D,3
GR3_F2O23_E,11
GR3_F2O23_F,1
GR3_F2O23_H,1
GR3_F2O23_I,9
GR3_F2O23_J,11
GR3_F2O23_K,38
GR3_F2O23_M,1
GR3_F2O23_N,7
GR3_F2O23_O,5
GR3_F2O23_Q,4
GR3_F2O23_R,6
GR3_F2O23_S,27
GR3_F2O23_T,1
GR3_F2O23_W,4
GR3_F2O23_X,1
GR3_F2O24_A,2
GR3_F2O24_B,9
GR3_F2O24_C,19
GR3_F2O24_D,3
GR3_F2O24_E,7
GR3_F2O24_F,10
GR3_F2O24_G,29
GR3_F2O24_H,42
GR3_F2O24_K,9
GR3_F2O24_L,20
GR3_F2O24_M,6
GR3_F2O24_P,2
GR3_F2O24_R,2
GR3_F2O24_S,2
GR3_F2O24_X,1
GR3_F2O24_Y,1
GR3_F2O32_B,6
GR3_F2O32_D,1
GR3_F2O32_H,4
GR3_F2O32_I,2
GR3_F2O32_J,1
GR3_F2O32_M,1
GR3_F2O32_N,1
GR3_F2O32_O,2
GR3_F2O41_B,1
GR3_F2O41_D,3
GR3_F2O41_F,1
GR3_F2O41_L,6
GR3_F2O41_M,2
GR3_F2O41_O,1
GR3_F2O41_P,8
GR3_F2O41_Q,2
GR3_F2O41_R,5
GR3_F2O41_T,2
GR3_F2O41_V,1
GR3_F2O41_W,2
GR3_F2O42_A,1
GR3_F2O42_B,1
GR3_F2O42_H,1
GR3_F2O42_J,3
GR3_F2O42_K,1
GR3_F2O42_M,2
GR3_F2O42_P,1
GR3_F2O42_Q,1
GR3_F2O42_R,2
GR3_F2O42_U,2
GR3_F2O42_V,6
GR3_F2O42_W,4
GR3_F2O42_X,7
GR3_F2O43_B,1
GR3_F2O43_F,2
GR3_F2O43_H,1
GR3_F2O43_I,3
GR3_F2O43_M,3
GR3_F2O43_S,4
GR3_F2O43_T,2
GR3_F2O43_X,5
GR3_F2O43_Y,3
GR3_F2O44_B,1
GR3_F2O44_C,1
GR3_F2O44_D,1
GR3_F2O44_H,1
GR3_F2O44_K,12
GR3_F2O44_L,1
GR3_F2O44_P,1
GR3_F2O44_Q,2
GR3_F2P11_F,10
GR3_F2P11_G,7
GR3_F2P11_H,10
GR3_F2P11_I,8
GR3_F2P11_J,5
GR3_F2P11_K,9
GR3_F2P11_L,1
GR3_F2P11_M,5
GR3_F2P11_N,7
GR3_F2P11_O,2
GR3_F2P11_P,14
GR3_F2P11_Q,25
GR3_F2P11_R,103
GR3_F2P11_S,10
GR3_F2P11_T,1
GR3_F2P11_U,51
GR3_F2P11_V,19
GR3_F2P11_W,58
GR3_F2P11_X,17
GR3_F2P11_Y,27
GR3_F2P12_V,4
GR3_F2P13_A,9
GR3_F2P13_B,6
GR3_F2P13_C,8
GR3_F2P13_P,1
GR3_F2P13_X,1
GR3_F2P14_A,1
GR3_F2P14_B,2
GR3_F2P31_B,2
GR3_F2P31_C,5
GR3_F2P31_D,6
GR3_F2P31_G,2
GR3_F2P31_H,1
GR3_F2P31_L,1
GR3_F2P31_M,1
GR3_F2P31_N,3
GR3_F2P31_O,5
GR3_F2P31_Q,1
GR3_F2P31_R,4
GR3_F2P31_T,2
GR3_F2P31_W,2
GR3_F2P31_Y,9
GR3_F2P32_F,1
GR3_F2P32_K,2
GR3_F2P32_U,1
GR3_F2P33_A,1
GR3_F2P33_B,4
GR3_F2P33_E,1
GR3_F2P33_F,2
GR3_F2P33_G,3
GR3_F2P33_H,5
GR3_F2P33_J,1
GR3_F2P33_L,2
GR3_F2P33_M,5
GR3_F2P33_N,1
GR3_F2P33_O,2
GR3_F2P33_Q,1
GR3_F2P33_R,1
GR3_F2P34_A,1
GR3_F2P34_C,4
GR3_F2P34_E,3
GR3_F2P34_I,2
GR3_F2P34_M,1
GR3_F2P34_O,1
GR3_F2P34_X,1
GR3_F2P43_A,1
GR3_F2P43_B,1
GR3_F2P43_F,1
GR3_F2P43_L,1
GR3_F4C14_P,1
