id,count
GR3_F2P33_J,3
GR3_F2P33_K,1
GR3_F2P33_L,2
GR3_F2P33_M,3
GR3_F2P34_A,2
GR3_F2P34_F,2
GR3_F2P34_H,7
GR3_F2P34_I,4
GR3_F2P34_L,1
GR3_F2P34_O,4
GR3_F2P43_A,2
GR3_F2P43_F,1
GR3_F2P43_K,1
GR3_F4C23_E,1
