접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-0384,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-04-15,2021-04-17,폐사,,기타,Male,0년0월0일,36.062056,126.70675,9,,,상세주소 누락,충청남도 서천군 마서면,기타,기생충 중감염,기생충 중감염/개선충 감염,36 03 43.4,126 42 24.3,,,3200,3200,"개선충 중감염, 빈혈"
2021-0635,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Female,1년0월0일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,기타,기타/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,5300,5160,폐울혈 의심
2021-0636,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Male,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,129,5400,어미와 함께 발견된 어린 개체
2021-0637,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Female,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,125,5680,어미와 함께 발견된 어린 개체
2021-0638,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Female,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,121,4760,어미와 함께 발견된 어린 개체
2021-0639,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Male,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,137,5680,어미와 함께 발견된 어린 개체
2021-0640,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Male,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,142,5800,어미와 함께 발견된 어린 개체
2021-0641,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Female,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,135,4420,어미와 함께 발견된 어린 개체
2021-0642,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-05-16,2021-11-11,방생,충청남도 서천군 문산면 문장리 산 56-7,,Female,0년0월3일,36.032444,126.747806,6,36.12627336,126.7241799,농경지,충청남도 서천군 화양면 망월리 454-1,농경지,어미를 잃음(미아),어미를 잃음(미아)/개발에 따른 서식지 소실,36 01 56.8,126 44 52.1,36 07 34.2,126 43 26.6,121,5440,어미와 함께 발견된 어린 개체
2021-1115,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-22,2021-06-22,DOA,,기타,Male,0년0월0일,36.09,126.655639,9,,,세부주소 부족,충청남도 서천군 종천면 장구리,건물옆,기생충 중감염,기생충 중감염/개선충증,36 05 24.0,126 39 20.3,,,3420,3420,개선충 중감염
