접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1039,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-04-11,2019-07-13,방생,충청남도 예산군 신양면 신양리 628-1,,Unknown,0년3월0일,36.159944,127.405472,0,36.60228676,126.8735704,위 주소는 인계지 주소,충청남도 금산군 복수면 곡남리 59,숲,인공구조물 침입·고립,인가에 침입한 너구리를 유기견 보호소에 전달,36 09 35.8,127 24 19.7,36 36 05.6,126 52 23.0,6000,6000,단순 인가 침입
2019-1726,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-12-15,2019-12-21,폐사,,기타,Unknown,0년0월0일,36.168389,127.526639,178,,,주소지 부근 건물 옆,충청남도 금산군 군북면 두두리 348-1,건물옆,기생충 중감염,개선충 감염 ,36 10 06.2,127 31 35.9,,,2520,2520,개선충 중감염
2019-1766,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-12-26,2020-01-01,폐사,,기타,Female,0년0월0일,36.111028,127.597667,161,,,월영산펜션 내부 수영장,충청남도 금산군 제원면 천내리 195-1,건물옆,기생충 중감염,개선충 중감염,36 06 39.7,127 35 51.6,,,4100,4100,개선충 중감염 및 저체온증
2020-1785,메추라기,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2020-11-03,2020-12-03,방생,충청남도 당진시 순성면 본리 340-1,,Unknown,Juvenile,36.171056,127.441028,226,36.8455508,126.7382852,금산군위생매립장,충청남도 금산군 추부면 용지리 430,건물옆,전선/건물과의 충돌,"전선, 건물과의 충돌/ 유리창충돌",36 10 15.8,127 26 27.7,36 50 43.8,126 44 17.8,84,87,충돌에 의한 흉골 골절 및 의식 저하
2020-0861,벙어리뻐꾸기,조강(Aves),두견이목,두견이과,해당없음,해당없음,해당없음,2020-06-13,2020-07-22,안락사,,기타,Unknown,Adult,36.174667,127.355333,185,,,레드스쿨,충청남도 금산군 진산면 지방리 243-2,건물옆,전선/건물과의 충돌,유리창 충돌,36 10 28.8,127 21 19.2,,,92,96,충돌로 인한 일시적 뇌진탕 및 쇄골 골절
2020-1594,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2020-09-04,2020-10-15,방생,충청남도 예산군 신양면 무봉리 13,,Unknown,Unknown,36.110472,127.479611,181,36.62027762,126.8366882,대원칸타빌 내 ,충청남도 금산군 금산읍 아인리 630,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 06 37.7,127 28 46.6,36 37 12.8,126 50 12.1,98,164,단순 미아
2020-1658,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2020-09-25,2020-10-12,방생,예산읍 대회리 1,,Unknown,Juvenile,36.102306,127.5015,149,36.67008139,126.8596661,앞,충청남도 금산군 금산읍 신대리 647-3,건물옆,전선/건물과의 충돌,전선/건물과의 충돌건물과의 충돌 추정,36 06 08.3,127 30 05.4,36 40 14.7,126 51 41.8,156,172,충돌에 의한 흉골 근위부 골절
2020-1534,쏙독새,조강(Aves),쏙독새목,쏙독새과,해당없음,해당없음,해당없음,2020-08-24,2020-08-25,DOA,,기타,Unknown,Unknown,36.221639,127.507583,188,,,옆 도로,충청남도 금산군 추부면 신평리 999,도로변,전선/건물과의 충돌,건물 충돌 추정,36 13 17.9,127 30 27.3,,,118,118,충돌에 의한 내상(추정)
2020-0653,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
2020-0654,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
2020-0655,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
