접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1744,되지빠귀,조강(Aves),참새목,지빠귀과,해당없음,해당없음,해당없음,2021-10-14,2021-10-14,DOA,,기타,Male(),Adult,36.39575,126.863444,47,,,칠갑산 오토캠핑장,충청남도 청양군 대치면 까치내로 710,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 23 44.7,126 51 48.4,,,66,66,"좌측 상완 열상 및 과다출혈, 기낭파열 의심"
2021-0519,호랑지빠귀,조강(Aves),참새목,지빠귀과,해당없음,해당없음,해당없음,2021-05-03,2021-05-12,방생,충청남도 예산군 대흥면 갈신리 1,,Unknown,Adult,36.555806,126.877389,102,36.66816249,126.8644697,주소지 부근 건물,충청남도 청양군 운곡면 추광리 181,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 33 20.9,126 52 38.6,36 40 02.7,126 52 02.4,126,106,뇌진탕
2021-1141,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2021-06-24,2021-06-24,폐사체,,기타,Unknown,Juvenile,36.459333,126.800167,101,,,주소지 부근 건물 옆,충청남도 청양군 청양읍 송방리 58-1,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 27 33.6,126 48 00.6,,,11,11,소장 파열 의심
2021-1593,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2021-08-30,2021-09-06,폐사,,기타,Unknown,Adult,36.448417,126.800528,88,,,건물옆,충청남도 청양군 청양읍 칠갑산로4길 28,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 26 54.3,126 48 01.9,,,24,19,"뇌진탕, T5~synsacrum 사이 골절"
2021-1416,검은댕기해오라기,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-07-27,2021-07-27,안락사,,기타,Unknown,Juvenile,36.398,126.891944,174,,,계곡 옆 도로 ,충청남도 청양군 장평면 적곡리 산 6-8,도로변,전선/건물과의 충돌,전선과의 충돌,36 23 52.8,126 53 31.0,,,246,246,"우측 상완골 개방골절, 오훼골 및 어깨뼈 탈구, 우측 대퇴골 골절"
2021-1489,중백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-08-08,2021-08-09,DOA,,기타,Unknown,Unknown,36.45325,126.800722,93,,,청양고등학교,충청남도 청양군 청양읍 송방리 133,건물옆,기아 및 탈진,기아 및 탈진,36 27 11.7,126 48 02.6,,,414,414,극심한 기아 및 탈진과 인두내 흡충 감염
2021-0394,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-04-17,2021-04-17,폐사체,,기타,Female,0년10월0일,36.38275,126.996917,24,,,도로에서 발견,충청남도 청양군 목면 신흥리 661번지,도로변,차량과의 충돌,차량과의 충돌,36 22 57.9,126 59 48.9,,,16140,16140,"HBC로 인한 좌측 골반뼈 골절, 요추 골절, 복부 내부장기 노출"
2021-0481,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-04-29,2021-04-29,안락사,,기타,Female,0년10월0일,36.42675,126.718861,89,,,대청로 도로변,충청남도 청양군 화성면 산정리 149-7,도로변,차량과의 충돌,차량과의 충돌,36 25 36.3,126 43 07.9,,,15620,15620,충돌로 인한 척추 탈구
2021-1035,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-14,2021-09-09,이첩,국립생태원,,Female,0년1월0일,36.489306,126.836528,144,,,발견주소 누락으로 인한 인계지 주소 설정,충청남도 청양군 운곡면 위라리 327-1,농경지,어미를 잃음(미아),어미를 잃음(미아),36 29 21.5,126 50 11.5,,,912,4570,단순 미아
2021-1194,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-29,2021-07-11,폐사,,기타,Male,0년1월0일,36.556833,126.877694,87,,,비닐하우스 뒤에 있는 주택,충청남도 청양군 운곡면 추광리 165,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 33 24.6,126 52 39.7,,,966,1100,단순 미아
