접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1606,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-09-02,2021-09-02,안락사,,기타,Unknown,Juvenile,36.359444,127.064472,48,,,이인중학교 교내,충청남도 공주시 이인면 이인리 122,건물옆,바이러스 감염,바이러스 감염/폭스바이러스 감염,36 21 34.0,127 03 52.1,,,0,0,폭스바이러스 감염
2021-1659,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-09-15,2021-10-19,방생,충청남도 서산시 팔봉면 진장리 639,,Unknown,Adult,36.475444,127.152694,42,36.77094336,126.3655969,건물옆,충청남도 공주시 무령로 600-85,건물옆,끈끈이,끈끈이,36 28 31.6,127 09 09.7,36 46 15.1,126 21 56.2,270,278,"끈끈이오염, 우측 대퇴 원위부 골절"
2021-1497,쏙독새,조강(Aves),쏙독새목,쏙독새과,해당없음,해당없음,해당없음,2021-08-09,2021-08-10,DOA,,기타,Unknown,Unknown,36.419972,127.141083,58,,,건물 옆,충청남도 공주시 계룡면 가마울길 62,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 25 11.9,127 08 27.9,,,50,50,뇌진탕 추정
2021-0453,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-04-24,2021-06-23,기타,,,Unknown,Juvenile,36.444361,127.119139,41,,,청목관 계단,충청남도 공주시 봉황동 376-1,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 26 39.7,127 07 08.9,,,114,166,미아
2021-0904,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 180-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.8,127 08 13.4,0,0,인공둥지만 필요한 어린 개체
2021-0905,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 108-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.8,127 08 13.4,0,0,인공둥지만 필요한 어린 개체
2021-0906,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 180-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.8,127 08 13.4,0,0,인공둥지만 필요한 어린 개체
2021-0907,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 180-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.7,127 08 13.3,0,0,인공둥지만 필요한 어린 개체
2021-0908,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 180-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.7,127 08 13.3,0,0,인공둥지만 필요한 어린 개체
2021-0909,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-04,2021-06-04,방생,충청남도 공주시 신관동 180-5 대동다숲1단지 아파트 106동 702호,,Unknown,Nestling,36.469639,127.137056,29,36.46936102,127.1369016,대동다숲1단지 아파트 106동 702호,충청남도 공주시 신관동 180-5,건물옆,인공구조물 침입·고립,인공구조물 침입·고립/실외기,36 28 10.7,127 08 13.4,36 28 10.7,127 08 13.4,0,0,인공둥지만 필요한 어린 개체
