접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-0674,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2019-06-06,2019-07-22,방생,충청남도 예산군 대흥면 손지리 577,,Unknown,Juvenile,36.354639,126.593139,16,36.66022951,126.812534,(옥갓티1길 31) 대천여자중학교 운동장,충청남도 보령시 대천동 453-1 ,건물옆,어미를 잃음(미아),어미를 잃음 (미아),36 21 16.7,126 35 35.3,36 39 36.6,126 48 45.0,836,1482,미아
2019-1142,중대백로㉵,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2019-07-25,2019-07-25,DOA,,기타,Unknown,Adult,36.359333,126.602722,15,,,(지장골길 76) 주소지 부근 건물 옆,충청남도 보령시 죽정동 667-4 ,건물옆,전선/건물과의 충돌,전선 충돌 추정,36 21 33.6,126 36 09.8,,,624,624,충돌에 의한 흉골 골절
2019-1474,황로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2019-09-29,2019-10-01,DOA,,기타,Unknown,Unknown,36.301444,126.522361,7,,,(갓바위1길 10-30)국군복지단 대천콘도 주변 도로,충청남도 보령시 신흑동 800-10,도로변,차량과의 충돌,차량충돌 추정,36 18 05.2,126 31 20.5,,,452,452,충돌에 의한 내상(폐출혈)
2019-0080,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-02-10,2019-02-16,폐사,,기타,Male,3년8월0일,36.420944,126.540056,14,,,교성 보건진료소 앞 도로,충청남도 보령시 오천면 교성리 1360,도로변,차량과의 충돌,차량충돌,36 25 15.4,126 32 24.2,,,16700,16700,충돌에 의한 뇌진탕 및 피부 찰과상
2019-0160,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-03-22,2019-03-24,폐사,,기타,Male,0년8월0일,36.187944,126.676694,144,,,,충청남도 보령시 미산면 남심리 458,농경지,인공구조물에 얽힘,밭그물에 얽힌 개체를 풀어줬지만 후지를 제대로 사용하지 못한 상태로도망치는 과정에서 농수로에 빠짐,36 11 16.6,126 40 36.1,,,13460,13460,밭그물에 얽힌 개체
2019-0230,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-04-15,2019-04-16,방생,충청남도 보령시 오천면 오포리 423-4,,Male,0년11월0일,36.396333,126.487833,21,36.40192496,126.5277281,보령에너지월드 내,충청남도 보령시 주교면 고정리 247-10,건물옆,인공구조물 침입·고립,인공구조물 침입 및 고립,36 23 46.8,126 29 16.2,36 24 07.2,126 31 39.5,0,0,건물 사이에 일시적으로 끼인 개체
2019-0827,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-19,2019-06-20,폐사체,,기타,Female,0년0월0일,36.334222,126.639972,197,,,무궁화수목원 인근 도로,충청남도 보령시 성주면 성주리 251-10,도로변,차량과의 충돌,차량충돌 추정,36 20 03.2,126 38 23.9,,,0,0,로드킬 추정 개체
2019-0856,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-23,2019-06-24,폐사체,,기타,Male,0년1월0일,36.360167,126.594917,64,,,대우아파트 뒷편 수로,충청남도 보령시 죽정동  대우아파트,숲,어미를 잃음(미아),아파트와 뒷산 사이 수로에 빠진 개체 구조,36 21 36.6,126 35 41.7,,,2598,2598,수로에 빠진 개체
2019-0887,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-06-26,2019-06-28,DOA,,기타,Male,0년1월0일,36.369167,126.574806,9,,,공장단지 주변 수로,충청남도 보령시 주교면 관창리 522-1,도로변,어미를 잃음(미아),수로 내에서 발견됨,36 22 09.0,126 34 29.3,,,650,650,저체온 및 탈진
2019-1055,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-07-13,2019-08-17,폐사,,기타,Unknown,0년0월0일,36.271722,126.621667,50,,,"주소지 부근 산, 농경지의 경계  ",충청남도 보령시 웅천읍 수부리 산 31-1,숲,자연적 사고,활동 중 발생한 자연적 사고에 의한 Lt.전지 척골 골절,36 16 18.2,126 37 18.0,,,2140,2580,좌측 척골(olecranon) 폐쇄골절
