접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2020-1488,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2020-06-08,2020-09-23,방생,충청남도 예산군 대술면 산정리 산 81-1,,Male,0년4월0일,36.288528,127.175389,71,36.64099725,126.8801758,산 옆,충청남도 논산시 상월면 대촌리 산 3-4,숲,부적절한 사육,부적절한 사육,36 17 18.7,127 10 31.4,36 38 28.5,126 52 48.6,3588,4030,부적절하게 사육된 개체/미약한 개선충
2020-1786,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2020-11-04,2020-12-02,폐사,,기타,Female,0년0월0일,36.278194,127.115083,55,,,주택가,충청남도 논산시 노성면 송당리 186-10,건물옆,기생충 중감염,기생충 중감염/ 개선충 감염,36 16 41.5,127 06 54.3,,,3100,3900,개선충 중감염
2021-0492,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-04-30,2021-04-30,방생,충청남도 논산시 연산면 청동리 110,,Unknown,Nestling,36.213333,127.207528,46,36.21283694,127.2073121,쓰러진 나무 구멍,충청남도 논산시 연산면 청동리 110,기타,어미를 잃음(미아),어미를 잃음(미아),36 12 48.0,127 12 27.1,36 12 48.0,127 12 27.1,0,0,미아
2021-0493,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-04-30,2021-04-30,방생,충청남도 논산시 연산면 청동리 110,,Unknown,Nestling,36.213333,127.207528,46,36.21283694,127.2073121,쓰러진 나무 구멍,충청남도 논산시 연산면 청동리 110,기타,어미를 잃음(미아),어미를 잃음(미아),36 12 48.0,127 12 27.1,36 12 48.0,127 12 27.1,0,0,미아
2021-0494,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-04-30,2021-04-30,방생,충청남도 논산시 연산면 청동리 110,,Unknown,Nestling,36.213333,127.207528,46,36.21283694,127.2073121,쓰러진 나무 구멍,충청남도 논산시 연산면 청동리 110,기타,어미를 잃음(미아),어미를 잃음(미아),36 12 48.0,127 12 27.1,36 12 48.0,127 12 27.1,0,0,미아
2021-0495,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-04-30,2021-04-30,방생,충청남도 논산시 연산면 청동리 110,,Unknown,Nestling,36.213333,127.207528,46,36.21283694,127.2073121,쓰러진 나무 구멍,충청남도 논산시 연산면 청동리 110,기타,어미를 잃음(미아),어미를 잃음(미아),36 12 48.0,127 12 27.1,36 12 48.0,127 12 27.1,0,0,미아
2021-0496,쇠딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-04-30,2021-04-30,방생,충청남도 논산시 연산면 청동리 110,,Unknown,Nestling,36.213333,127.207528,46,36.21283694,127.2073121,쓰러진 나무 구멍,충청남도 논산시 연산면 청동리 110,기타,어미를 잃음(미아),어미를 잃음(미아),36 12 48.0,127 12 27.1,36 12 48.0,127 12 27.1,0,0,미아
2021-1920,청딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2021-11-18,2021-11-19,DOA,,기타,Female,Unknown,36.199278,127.0335,16,,,주소지 부근 건물 옆,충청남도 논산시 성동면 성동로240번길 30,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 11 57.4,127 02 00.6,,,128,128,아래 부리골절
2021-0833,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-06-01,2021-06-14,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Adult,36.197917,127.080806,13,36.67008139,126.8596661,시멘트공장 앞마당,충청남도 논산시 부창동 187-2,건물옆,전선/건물과의 충돌,유리구조물과의 충돌,36 11 52.5,127 04 50.9,36 40 11.8,126 51 44.2,126,171,"쇄골 탈구 및 변이, 우측 대퇴골 및 좌측 3지 골절"
2021-1119,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-06-22,2021-06-22,DOA,,기타,Unknown,Adult,36.190722,127.096833,23,,,논산제이파크1단지 아파트,충청남도 논산시 내동 272,건물옆,"개, 고양이 공격","개, 고양이 공격/고양이 공격",36 11 26.6,127 05 48.6,,,216,216,우측 경비골 골절
2021-1601,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-09-01,2021-09-01,안락사,,기타,Unknown,Juvenile,36.157472,127.012889,6,,,황산초등학교 교내 운동장,충청남도 논산시 강경읍 대흥로34번길 5,건물옆,바이러스 감염,바이러스 감염/폭스바이러스 감염,36 09 26.9,127 00 46.4,,,0,0,avian pox 감염
2021-1679,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-09-23,2021-09-23,안락사,,기타,Unknown,Juvenile,36.20875,127.098583,9,,,인계지 주소,충청남도 논산시 지산동 818-11,기타,바이러스 감염,바이러스 감염/폭스바이러스 감염,36 12 31.5,127 05 54.9,,,0,0,폭스 바이러스 감염
2021-1767,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-10-18,2021-10-18,안락사,,기타,Unknown,Juvenile,36.191278,127.095167,22,,,건물옆,충청남도 논산시 논산대로 306-4,건물옆,바이러스 감염,바이러스 감염/폭스 바이러스,36 11 28.6,127 05 42.6,,,0,0,폭스 바이러스 감염
2021-0996,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-10,2021-06-25,방생,충청남도 예산군,,Unknown,Nestling,,,,,,,충청남도 논산시,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,57,76,단순미아
2021-0898,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-03,2021-06-05,폐사,,기타,Unknown,Nestling,,,,,,,충청남도 논산시,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,72,70,단순 미아
2021-1092,큰부리까마귀,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-06-20,2021-06-23,폐사,,기타,Unknown,Juvenile,,,,,,,충청남도 논산시,도로변,차량과의 충돌,차량과의 충돌,,,,,536,625,충돌에 의한 대퇴골 및 상완골 골절
2021-0858,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-06-02,2021-06-02,폐사체,,기타,Unknown,Juvenile,36.161361,127.123861,25,,,건물옆,충청남도 논산시 은진면 용산리 83-1,건물옆,끈끈이,끈끈이,36 09 40.9,127 07 25.9,,,13,13,끈끈이로 인한 폐사
2021-1403,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-07-24,2021-07-24,DOA,,기타,Female,Adult,36.157056,127.123167,26,,,건물내부,충청남도 논산시 은진면 살포재길 194,건물옆,끈끈이,끈끈이,36 09 25.4,127 07 23.4,,,0,0,끈끈이 오염
2021-1181,제비,조강(Aves),참새목,제비과,해당없음,해당없음,해당없음,2021-06-28,2021-06-28,방생,충청남도 논산시 은진면 와야리 128-8,,Unknown,Juvenile,36.181417,127.114306,27,36.18145437,127.1142327,주소지 부근 건물 옆,충청남도 논산시 은진면 와야리 128-8,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 10 53.1,127 06 51.5,36 10 53.1,127 06 51.5,0,0,이소한 어린 개체를 미아로 오인해 구조
2021-1619,제비,조강(Aves),참새목,제비과,해당없음,해당없음,해당없음,2021-09-06,2021-09-07,DOA,,기타,Unknown,Juvenile,36.133167,127.153944,41,,,주유소 건물,충청남도 논산시 가야곡면 매죽헌로 709,건물옆,전선/건물과의 충돌,유리구조물과의 충돌,36 07 59.4,127 09 14.2,,,12,12,유리창 충돌에 의한 뇌진탕
2021-0834,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2021-06-01,2021-06-21,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Nestling,36.115583,127.101472,26,36.67008139,126.8596661,도로변,충청남도 논산시 연무읍 마산리 636,도로변,어미를 잃음(미아),어미를 잃음(미아),36 06 56.1,127 06 05.3,36 40 10.8,126 51 35.7,12,14,미아
2021-0835,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2021-06-01,2021-06-21,기타,,,Unknown,Nestling,36.115583,127.101472,26,,,도로변,충청남도 논산시 연무읍 마산리 636,도로변,어미를 잃음(미아),어미를 잃음(미아),36 06 56.1,127 06 05.3,,,9,12,단순 미아
2021-0836,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2021-06-01,2021-06-03,폐사,,기타,Unknown,Nestling,36.115583,127.101472,26,,,도로변,충청남도 논산시 연무읍 마산리 636,도로변,어미를 잃음(미아),어미를 잃음(미아),36 06 56.1,127 06 05.3,,,9,8,등쪽 열상
2021-1232,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2021-07-02,2021-07-16,폐사,,기타,Unknown,Adult,36.182611,127.2045,35,,,반곡초등학교 정문 옆 방음벽 부근,충청남도 논산시 양촌면 반곡리 250-6,건물옆,전선/건물과의 충돌,유리 구조물 충돌/방음벽 충돌,36 10 57.4,127 12 16.2,,,22,20,우측 요척골 개방골절
