접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-0998,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-06-11,2021-06-22,방생,충청남도 서천군 서천읍 신송리 307-5,,Unknown,Adult,36.271639,126.931611,10,36.07079358,126.6743764,주소지 부근 한천변,충청남도 부여군 부여읍 가탑리 430-1,"강, 바다",낚시 쓰레기,낚시 쓰레기/낚싯줄에 얽힘,36 16 17.9,126 55 53.8,36 04 14.7,126 40 27.8,1554,1260,우측 전완 피내 출혈
2021-1140,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-06-24,2021-07-26,안락사,,기타,Unknown,Juvenile,36.13725,126.831083,28,,,주소지 부근 건물 옆,충청남도 부여군 양화면 송정리 130,건물옆,기아 및 탈진,기아 및 탈진,36 08 14.1,126 49 51.9,,,1080,1316,탈진
2021-1703,중백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-09-29,2021-09-29,안락사,,기타,Unknown,Unknown,36.274139,126.887306,14,,,인근 주차장,충청남도 부여군 규암면 규암리 107-1,건물옆,전선/건물과의 충돌,전선과의 충돌,36 16 26.9,126 53 14.3,,,700,700,"좌측 뒷발목관절, 234지 진구성 탈구"
2021-0266,집박쥐,포유강(Mammalia),박쥐목,애기박쥐과,해당없음,해당없음,해당없음,2021-03-16,2021-03-16,DOA,,기타,Unknown,0년0월0일,36.175444,126.947417,7,,,세도초등학교 건물 내,충청남도 부여군 세도면 청송리 466-3,기타,인공구조물 침입·고립,인공구조물 침입/,36 10 31.6,126 56 50.7,,,6,6,인공구조물 침입 및 고립
2021-0728,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-05-25,2021-05-25,안락사,,기타,Male,1년0월0일,36.271556,126.964694,41,,,도로변,충청남도 부여군 부여읍 능산리 165-15,도로변,차량과의 충돌,차량과의 충돌,36 16 17.6,126 57 52.9,,,13400,13400,"하악 골절, 상완골 골절"
2021-1052,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-16,2021-06-16,폐사체,,기타,Male,1년0월0일,36.267194,126.916639,6,,,배수장 내 펜스,충청남도 부여군 부여읍 왕포리 439-5,농경지,차량과의 충돌,차량과의 충돌,36 16 01.9,126 54 59.9,,,9040,9040,양측 앞다리 굽이관절 괴사
2021-1182,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-28,2021-06-28,안락사,,기타,Male,0년1월0일,36.252972,126.879083,7,,,비닐하우스 옆,충청남도 부여군 규암면 내리 635-2,농경지,"개, 고양이 공격","개, 고양이 공격",36 15 10.7,126 52 44.7,,,1352,1352,좌측 후두부쪽 심한 승저증
2021-1250,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-07-04,2021-07-05,폐사,,기타,Female,0년0월0일,36.229667,126.751361,42,,,도로변,충청남도 부여군 홍산면 토정리 39,도로변,어미를 잃음(미아),어미를 잃음(미아),36 13 46.8,126 45 04.9,,,2080,2080,기아 및 탈수
2021-1301,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-07-10,2021-07-10,DOA,,기타,Unknown,0년0월0일,36.226472,126.999306,20,,,도로 옆 수로,충청남도 부여군 석성면 석성리 1031-1,기타,"개, 고양이 공격","개, 고양이 공격/ 견교상",36 13 35.3,126 59 57.5,,,2520,2520,교상 및 승저증
2021-1794,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-24,2021-10-24,안락사,,기타,Female,0년0월0일,36.245556,126.999722,27,,,부여 사비문 광장 주차장에서 태안방면 도로 진입부근,충청남도 부여군 석성면 증산리 1136-2,도로변,차량과의 충돌,차량과의 충돌,36 14 44.0,126 59 59.0,,,14700,14700,차량 충돌에 의한 L6 골절 및 Rt. 고관절 탈구
