접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,구조위도(TM구조위도),구조경도(TM구조경도),방생위도(TM방생위도),방생경도(TM방생경도),등록체중,현재체중,임상적최종진단
2020-1897,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2020-12-04,2020-12-04,DOA,,기타,Female,Adult,36.281694,127.236778,152,,,상가 앞,충청남도 계룡시 엄사면 엄사리 226-25,건물옆,전선/건물과의 충돌,"전선, 건물과의 충돌/ 유리창 충돌 추정",36 16 54.1,127 14 12.4,,,14,12,충돌에 의한 뇌진탕
2020-1586,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2020-09-06,2020-09-23,폐사,,기타,Unknown,Juvenile,36.269056,127.266333,128,,,놀이터 주변 화단,충청남도 계룡시 두마면 두계리 114-14,건물옆,알 수 없는 사고,알 수 없는 사고원인확인 필요,36 16 08.6,127 15 58.8,,,54,54,알 수 없는 사고에 의한 좌측 날개 이상
2020-1180,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2020-07-07,2020-07-09,폐사,,기타,Unknown,Nestling,36.242972,127.256,149,,,입암저수지 옆,충청남도 계룡시 두마면 입암리 419-2,숲,어미를 잃음(미아),단순 미아,36 14 34.7,127 15 21.6,,,4,4,미아
2020-0076,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-01-17,2020-01-17,안락사,,기타,Female,0년0월0일,36.243111,127.257028,148,,,공사부지 내부,충청남도 계룡시 두마면 입암리 637,도로변,차량과의 충돌,차량과의 충돌,36 14 35.2,127 15 25.3,,,17520,17520,양 뒷발허리뼈 개방골절
2020-0163,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-02-19,2020-02-19,안락사,,기타,Male,0년8월0일,36.258694,127.256556,139,,,산 초입부,충청남도 계룡시 두마면 농소리 산 11-5,도로변,차량과의 충돌,차량과의 충돌 추정,36 15 31.3,127 15 23.6,,,11320,11320,충돌에 의한 우측 경비골 분쇄/개방골절 및 좌측 고관절 탈구
2020-0628,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-05-25,2020-05-25,폐사체,,기타,Female,0년11월0일,36.281361,127.250861,110,,,도로위,충청남도 계룡시 금암동 237-22,도로변,차량과의 충돌,차량 충돌,36 16 52.9,127 15 03.1,,,15960,15960,척추골절(L5~6사이) 및 내상
2020-1474,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-08-12,2020-08-12,DOA,,기타,Male,0년0월0일,36.277944,127.251389,115,,,,충청남도 계룡시 금암동 212-9,도로변,차량과의 충돌,차량 충돌,36 16 40.6,127 15 05.0,,,17000,17000,충돌에 의한 심한 뇌진탕 및 호흡곤란
2020-1551,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-08-28,2020-08-28,안락사,,기타,Female,0년3월0일,36.262556,127.276222,130,,,(사계로 177) 농업기술센터 단지 내,충청남도 계룡시 두마면 왕대리 251-21,건물옆,추락,콘크리트 벽 위에서 추락 ,36 15 45.2,127 16 34.4,,,7680,7680,하악골절/복부 좌상
2020-1694,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-10-05,2020-10-22,안락사,,기타,Male,1년3월0일,36.313389,127.227083,144,,,석계리 체육공원,충청남도 계룡시 신도안면 석계리 599,건물옆,차량과의 충돌,차량충돌 추정,36 18 48.2,127 13 37.5,,,15680,15680,차량충돌에 의한 두부 손상
2020-0164,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2020-02-19,2020-02-20,폐사체,,기타,Female,0년0월0일,36.261167,127.283028,107,,,대문 앞,충청남도 계룡시 두마면 왕대리 46,건물옆,기생충 중감염,개선충 중감염,36 15 40.2,127 16 58.9,,,2480,2480,개선충 감염
2021-1380,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-07-22,2021-08-30,방생,충청남도 당진시 신평면 초대리 산 12-5,,Unknown,Nestling,36.280111,127.237583,142,36.90333997,126.7515886,아파트 단지 내 정자,충청남도 계룡시 엄사면 유동리 14-6,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 16 48.4,127 14 15.3,36 54 11.8,126 45 07.2,154,274,단순 미아
2021-1381,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2021-07-22,2021-08-30,방생,충청남도 당진시 신평면 초대리 산 12-5,,Unknown,Nestling,36.280111,127.237583,142,36.90333997,126.7515886,아파트 단지 내 정자,충청남도 계룡시 엄사면 유동리 14-6,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 16 48.4,127 14 15.3,36 54 11.8,126 45 07.2,138,254,단순 미아
2021-0486,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-04-29,2021-04-29,안락사,,기타,Male,1년10월0일,36.293417,127.24275,118,,,주소지 부근 도로변,충청남도 계룡시 엄사면 엄사리 95,도로변,차량과의 충돌,차량과의 충돌,36 17 36.3,127 14 33.9,,,16680,16680,L5 척추골절
2022-1617,청딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2022-07-12,2022-07-13,DOA,,기타,Unknown,Adult,36.17.589,127.14.350,124,,,학교 운동장 가로수 아래 오수관로 위,충남 계룡시 신도안면 남선리 1318,건물옆,전선/건물과의 충돌,유리 구조물 충돌,,,,,108,108,유리창 충돌에 의한 중증의 뇌진탕 및 양안 손상
2022-1045,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-06-01,2022-06-01,안락사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.16.132,127.14.538,130,,,아파트단지,충남 계룡시 장안로 75,건물옆,"개, 고양이 공격","개, 고양이 공격",,,,,138,138,"우측 상완 개방골절, 소낭 파열"
2022-2204,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-10-19,2022-10-26,폐사,,폐기,Unknown,Juvenile,36.20.255,127.08.187,50,,,근영건설산업 옆 녹지 경계,충남 공주시 계룡면 영규대사로 261,건물옆,"개, 고양이 공격","개, 고양이 공격",,,,,108,100,"우측 척골 개방골절, 교상 "
2022-2087,집비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-09-20,2022-09-20,폐사체,,냉동,Unknown,Unknown,36.17.428,127.14.346,117,,,길가 ,충남 계룡시 신도안면 남선리 1025-4,도로변,알 수 없는 사고,알 수 없는 사고 ,,,,,184,184,기아 및 탈진 추정
2022-0819,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-18,2022-06-13,방생,충남 예산군 대흥면 갈신리 산 53,,Unknown,Juvenile,36.16.132,127.14.538,130,,,우림아파트 인근,충남 계룡시 장안로 75,건물옆,어미를 잃음(미아),어미를 잃음(미아)/미아,,,,,98,110,단순 미아
2022-1790,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-07-29,2022-07-31,폐사,,폐기,Unknown,Nestling,36.16.272,127.14.557,139,,,계룡시청 왼편 녹지대,충남 계룡시 장안로 46,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,74,69.96,균형을 잘 잡지 못하는 미아
2022-1662,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2022-07-17,2022-08-16,방생,충남 예산군 예산읍 산성리 275-13,,Unknown,Juvenile,36.17.261,127.14.175,148,,,,충남 계룡시 엄사면 엄사리 128-13,건물옆,전선/건물과의 충돌,유리구조물 충돌,,,,,134,154,경미한 뇌진탕
2022-2205,황로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-10-19,2022-10-19,안락사,,기타(협조),Unknown,Unknown,36.15.278,127.12.313,128,,,도곡저수지 인근 논,충남 계룡시 엄사면 도곡리 409,농경지,전선/건물과의 충돌,전선과의 충돌,,,,,336,336,우측 요척골 골절 및 골단 괴사 
2022-1161,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-06-07,2022-06-07,안락사,,폐기,Unknown,0년0월0일,36.15.152,127.15.106,133,,,주소지 인근 농경지,충남 계룡시 두마면 농소리 277-2,농경지,기타,기타/예초기에 의한 신체 손상,,,,,"1,790","1,790","Lt. Rt. calcanius tendon rupture, 좌측 경비골 골절"
2022-1401,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-06-24,2022-06-24,안락사,,폐기,Unknown,0년0월0일,36.18.007,127.13.512,157,,,우수 집수정,충남 계룡시 신도안면 정장리 268,도로변,인공구조물 침입·고립,인공구조물 침입 및 고립/우수 집수정 고립,,,,,"1,316","1,316","안구, 좌측귀, 온몸 피부 승저증"
2022-2240,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-10-30,2022-10-30,폐사체,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Female,0년0월0일,36.18.348,127.15.059,169,,,도로변,충남 계룡시 신도안면 남선리 1347,건물옆,차량과의 충돌,차량과의 충돌,,,,,"20,980","20,980",L4 5 골절 
2022-1672,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-07-18,2022-07-19,DOA,,냉동(신냉동창고)(투입박스(일반)),Female,0년0월0일,36.23.418,127.08.466,54,,,농경지 옆 수풀,충남 공주시 계룡면 기산리 263-2,농경지,기아 및 탈진,기아 및 탈진,,,,,678,678,심한 기아 탈진
2022-2289,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-11-08,2022-11-11,폐사,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Unknown,0년0월0일,36.16.132,127.14.538,130,,,우림루미아트아파트 103동 뒤 배수로,충남 계룡시 금암동 167-1,건물옆,기생충 중감염,개선충 중감염,,,,,"4,460","4,460",개선충 중감염
2022-0607,오소리,포유강(Mammalia),식육목,족제비과,해당없음,해당없음,해당없음,2022-05-07,2022-05-07,안락사,,냉동(신냉동창고)(선반),Male,0년0월0일,36.16.007,127.12.523,83,,,하천,충남 계룡시 엄사면 도곡리 109-10,"강, 바다",알 수 없는 사고,알 수 없는 사고,,,,,"4,000","4,000","알 수 없는 사고로 인한 머리쪽 피부 열상, 승저증"
